key;day_full;day;month_nr;Semester;year
583;06/08/2011;6;8;2;2011
584;07/08/2011;7;8;2;2011
585;08/08/2011;8;8;2;2011
586;09/08/2011;9;8;2;2011
587;10/08/2011;10;8;2;2011
588;11/08/2011;11;8;2;2011
589;12/08/2011;12;8;2;2011
590;13/08/2011;13;8;2;2011
591;14/08/2011;14;8;2;2011
592;15/08/2011;15;8;2;2011
593;16/08/2011;16;8;2;2011
594;17/08/2011;17;8;2;2011
595;18/08/2011;18;8;2;2011
596;19/08/2011;19;8;2;2011
597;20/08/2011;20;8;2;2011
598;21/08/2011;21;8;2;2011
599;22/08/2011;22;8;2;2011
600;23/08/2011;23;8;2;2011
601;24/08/2011;24;8;2;2011
602;25/08/2011;25;8;2;2011
603;26/08/2011;26;8;2;2011
604;27/08/2011;27;8;2;2011
605;28/08/2011;28;8;2;2011
606;29/08/2011;29;8;2;2011
607;30/08/2011;30;8;2;2011
608;31/08/2011;31;8;2;2011
609;01/09/2011;1;9;2;2011
610;02/09/2011;2;9;2;2011
611;03/09/2011;3;9;2;2011
612;04/09/2011;4;9;2;2011
613;05/09/2011;5;9;2;2011
614;06/09/2011;6;9;2;2011
615;07/09/2011;7;9;2;2011
616;08/09/2011;8;9;2;2011
617;09/09/2011;9;9;2;2011
618;10/09/2011;10;9;2;2011
619;11/09/2011;11;9;2;2011
620;12/09/2011;12;9;2;2011
621;13/09/2011;13;9;2;2011
622;14/09/2011;14;9;2;2011
623;15/09/2011;15;9;2;2011
624;16/09/2011;16;9;2;2011
625;17/09/2011;17;9;2;2011
626;18/09/2011;18;9;2;2011
627;19/09/2011;19;9;2;2011
628;20/09/2011;20;9;2;2011
629;21/09/2011;21;9;2;2011
630;22/09/2011;22;9;2;2011
631;23/09/2011;23;9;2;2011
632;24/09/2011;24;9;2;2011
633;25/09/2011;25;9;2;2011
634;26/09/2011;26;9;2;2011
635;27/09/2011;27;9;2;2011
636;28/09/2011;28;9;2;2011
637;29/09/2011;29;9;2;2011
638;30/09/2011;30;9;2;2011
639;01/10/2011;1;10;2;2011
640;02/10/2011;2;10;2;2011
641;03/10/2011;3;10;2;2011
642;04/10/2011;4;10;2;2011
643;05/10/2011;5;10;2;2011
644;06/10/2011;6;10;2;2011
645;07/10/2011;7;10;2;2011
646;08/10/2011;8;10;2;2011
647;09/10/2011;9;10;2;2011
648;10/10/2011;10;10;2;2011
649;11/10/2011;11;10;2;2011
650;12/10/2011;12;10;2;2011
651;13/10/2011;13;10;2;2011
652;14/10/2011;14;10;2;2011
653;15/10/2011;15;10;2;2011
654;16/10/2011;16;10;2;2011
655;17/10/2011;17;10;2;2011
656;18/10/2011;18;10;2;2011
657;19/10/2011;19;10;2;2011
658;20/10/2011;20;10;2;2011
659;21/10/2011;21;10;2;2011
660;22/10/2011;22;10;2;2011
661;23/10/2011;23;10;2;2011
662;24/10/2011;24;10;2;2011
663;25/10/2011;25;10;2;2011
664;26/10/2011;26;10;2;2011
665;27/10/2011;27;10;2;2011
666;28/10/2011;28;10;2;2011
667;29/10/2011;29;10;2;2011
668;30/10/2011;30;10;2;2011
669;31/10/2011;31;10;2;2011
670;01/11/2011;1;11;2;2011
671;02/11/2011;2;11;2;2011
672;03/11/2011;3;11;2;2011
673;04/11/2011;4;11;2;2011
674;05/11/2011;5;11;2;2011
675;06/11/2011;6;11;2;2011
676;07/11/2011;7;11;2;2011
677;08/11/2011;8;11;2;2011
678;09/11/2011;9;11;2;2011
679;10/11/2011;10;11;2;2011
680;11/11/2011;11;11;2;2011
681;12/11/2011;12;11;2;2011
682;13/11/2011;13;11;2;2011
683;14/11/2011;14;11;2;2011
684;15/11/2011;15;11;2;2011
685;16/11/2011;16;11;2;2011
686;17/11/2011;17;11;2;2011
687;18/11/2011;18;11;2;2011
688;19/11/2011;19;11;2;2011
689;20/11/2011;20;11;2;2011
690;21/11/2011;21;11;2;2011
691;22/11/2011;22;11;2;2011
692;23/11/2011;23;11;2;2011
693;24/11/2011;24;11;2;2011
694;25/11/2011;25;11;2;2011
695;26/11/2011;26;11;2;2011
696;27/11/2011;27;11;2;2011
697;28/11/2011;28;11;2;2011
698;29/11/2011;29;11;2;2011
699;30/11/2011;30;11;2;2011
700;01/12/2011;1;12;2;2011
701;02/12/2011;2;12;2;2011
702;03/12/2011;3;12;2;2011
703;04/12/2011;4;12;2;2011
704;05/12/2011;5;12;2;2011
705;06/12/2011;6;12;2;2011
706;07/12/2011;7;12;2;2011
707;08/12/2011;8;12;2;2011
708;09/12/2011;9;12;2;2011
709;10/12/2011;10;12;2;2011
710;11/12/2011;11;12;2;2011
711;12/12/2011;12;12;2;2011
712;13/12/2011;13;12;2;2011
713;14/12/2011;14;12;2;2011
714;15/12/2011;15;12;2;2011
715;16/12/2011;16;12;2;2011
716;17/12/2011;17;12;2;2011
717;18/12/2011;18;12;2;2011
718;19/12/2011;19;12;2;2011
719;20/12/2011;20;12;2;2011
720;21/12/2011;21;12;2;2011
721;22/12/2011;22;12;2;2011
722;23/12/2011;23;12;2;2011
723;24/12/2011;24;12;2;2011
724;25/12/2011;25;12;2;2011
725;26/12/2011;26;12;2;2011
726;27/12/2011;27;12;2;2011
727;28/12/2011;28;12;2;2011
728;29/12/2011;29;12;2;2011
729;30/12/2011;30;12;2;2011
730;31/12/2011;31;12;2;2011
731;01/01/2012;1;1;1;2012
732;02/01/2012;2;1;1;2012
733;03/01/2012;3;1;1;2012
734;04/01/2012;4;1;1;2012
735;05/01/2012;5;1;1;2012
736;06/01/2012;6;1;1;2012
737;07/01/2012;7;1;1;2012
738;08/01/2012;8;1;1;2012
739;09/01/2012;9;1;1;2012
740;10/01/2012;10;1;1;2012
741;11/01/2012;11;1;1;2012
742;12/01/2012;12;1;1;2012
743;13/01/2012;13;1;1;2012
744;14/01/2012;14;1;1;2012
745;15/01/2012;15;1;1;2012
746;16/01/2012;16;1;1;2012
747;17/01/2012;17;1;1;2012
748;18/01/2012;18;1;1;2012
749;19/01/2012;19;1;1;2012
750;20/01/2012;20;1;1;2012
751;21/01/2012;21;1;1;2012
752;22/01/2012;22;1;1;2012
753;23/01/2012;23;1;1;2012
754;24/01/2012;24;1;1;2012
755;25/01/2012;25;1;1;2012
756;26/01/2012;26;1;1;2012
757;27/01/2012;27;1;1;2012
758;28/01/2012;28;1;1;2012
759;29/01/2012;29;1;1;2012
760;30/01/2012;30;1;1;2012
761;31/01/2012;31;1;1;2012
762;01/02/2012;1;2;1;2012
763;02/02/2012;2;2;1;2012
764;03/02/2012;3;2;1;2012
765;04/02/2012;4;2;1;2012
766;05/02/2012;5;2;1;2012
767;06/02/2012;6;2;1;2012
768;07/02/2012;7;2;1;2012
769;08/02/2012;8;2;1;2012
770;09/02/2012;9;2;1;2012
771;10/02/2012;10;2;1;2012
772;11/02/2012;11;2;1;2012
